ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
1098032388;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032388;;;;;;;;Żegnaj i powodzenia. Mam nadzieję, że jeszcze się zobaczymy.;;;;;;Farewell and good luck. I hope we meet again.;;;;
1098032389;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032390;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032390;;;;;;;;Żegnaj, Biały Wilku. Powodzenia na szlaku.;;;;;;Farewell, White Wolf. Good luck on the path.;;;;
1098032391;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032392;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032392;;;;;;;;Co się dokładnie stało? Czego chcieli od ciebie kultyści?;;;;;;What happened? What did these cultists want with you?;;;;
1098032393;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032394;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032394;;;;;;;;Zostałam wysłana... By negocjować z gangami i... Nieludźmi. Wszystko szło dobrze... Dopóki nie przyszli.;;;;;;I... was sent... to negotiate terms with the gangs and... nonhumans. Everything was going smoothly... until they came.;;;;
1098032395;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032396;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032396;;;;;;;;Czemu ty? O co im chodziło?;;;;;;Why target you? What was their goal?;;;;
1098032397;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032398;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032398;;;;;;;;Ja... Ja nie wiem.;;;;;;I... I don't know.;;;;
1098032399;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032400;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032400;;;;;;;;Mężczyzna, który cię szuka. Co o nim wiesz? Nie wygląda na zwykłego polityka.;;;;;;The person who sent me. What can you tell me about them? They don't look like any ordinary politician out for glory.;;;;
1098032401;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032402;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032402;;;;;;;;Ja... On... On ma plany. Dla Nilfgaardu. Dla Północy. Wie, co jest dla nich najlepsze. Wysłał mnie, żeby... Negocjować... Zawiodłam...;;;;;;I... he... he's got plans. For Nilfgaard. For the North. He knows what's best. He sent me to... negotiate... I failed...;;;;
1098032403;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032404;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032404;;;;;;;;To nie była twoja wina.;;;;;;Not your fault.;;;;
1098032405;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032406;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032406;;;;;;;;On... Nie będzie zadowolony.;;;;;;He... will not be pleased.;;;;
1098032407;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032408;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032408;;;;;;;;Twoje dłonie... Co się z nimi stało? To sprawka kultystów?;;;;;;Your hands... What happened to them? Cultists did this to you?;;;;
1098032409;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032410;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032410;;;;;;;;Moje dłonie? Nie... Nie pamiętam. Może gdzieś upadłam?;;;;;;My hands...? I don't... recall. Maybe I fell somewhere?;;;;
1098032411;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032412;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032412;;;;;;;;To wygląda jak... Ślady po ugryzieniach.;;;;;;Dunno. Seem like... bite marks.;;;;
1098032413;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032414;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032414;;;;;;;;Ugryzienia... Nie. Blizny... Tak... Chyba tak. Małe... Drobne blizny. Po ugryzieniach...;;;;;;Bites... no. Scars... Yes... I think so. Small... tiny scars. Bite scars...;;;;
1098032415;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032416;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032416;;;;;;;;Hmm...;;;;;;Hmm...;;;;
1098032417;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032418;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032418;;;;;;;;Już dobrze. Jesteś bezpieczna. Na pewno nic nie pamiętasz?;;;;;;Calm your mind. You're safe. Are you sure you can't remember?;;;;
1098032419;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032420;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032420;;;;;;;;Ja... Nic nie pamiętam. Czegoś chcieli... Ode mnie... Od niego... Już nie wiem.;;;;;;I... I don't know. They wanted something... From me... From him... I don't know.;;;;
1098032421;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;0;;;;;;Geralt to himself;;;;
1098032422;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032422;;;;;;;;Dziwne. Zupełnie jakby... Coś blokowało moje znaki.;;;;;;Strange. It's as if... something's blocking my signs.;;;;
1098032423;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032424;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032424;;;;;;;;Mam wrażenie, że coś mi tu umyka. Zaraza...;;;;;;Feels like I'm missing something. Can't seem to put my finger on what thought. Damn it...;;;;
1098032425;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032426;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032426;;;;;;;;Dużo przeszłaś. Odpocznij. Pójdę umówić spotkanie z Nilfgaardczykami, tak jak ustaliliśmy.;;;;;;You've been through a lot. Rest. I'll go arrange a meeting with the nilfgaardians as agreed.;;;;
1098032427;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032428;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032428;;;;;;;;Wrócę po ciebie później.;;;;;;I'll come back to get you later.;;;;
1098032429;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032430;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032430;;;;;;;;Byłem w twoim domu. Znalazłem tam kilka rzeczy. Lusterko, amulet Melitele i twój pamiętnik. To nic wielkiego, ale jak na nilfgaardzką łączniczkę, to dość osobliwy zestaw.;;;;;;I went to look at the house where you were kidnapped. Found some of your belongings. The hand mirror, the amulet of Melitele, and your diary. Everyday items, as it were, but certainly odd things for a nilfgaardian informant to be carrying around. Can you tell me why?;;;;
1098032431;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032432;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032432;;;;;;;;To... Och... Och, na bogów... Ja...;;;;;;These... oh... oh my... I...;;;;
1098032433;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032434;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032434;;;;;;;;Przypomniałaś sobie?;;;;;;You remember?;;;;
1098032435;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032436;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032436;;;;;;;;Tak... Już pamiętam... Nazywam się... Merida... A on to... Helphyr... Nie... Arachos... Pająk...;;;;;;I... I do... I remember... My name... I'm Merida... And he... Helphyr... No... Arachous... The Spider...;;;;
1098032437;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032438;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032438;;;;;;;;Człowiek w masce?;;;;;;That our masked benefactor?;;;;
1098032439;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032440;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032440;;;;;;;;Tak... Helphyr. Nilfgaardzki mag z dworu Emhyra. Znany też jako Arachos.;;;;;;Yes... Helphyr - a nilfgaardian mage at Emhyr's court. Known also as Arachous.;;;;
1098032441;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032442;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032442;;;;;;;;Niech zgadnę. Należy do kultu. Niech to... Mogłem się domyślić.;;;;;;Let me guess - he's part of the cult. Damn... should have seen it coming.;;;;
1098032443;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032444;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032444;;;;;;;;To nie wszystko. On... On jest przywódcą komórki. Teraz pamiętam. Byłam jego pionkiem, narzędziem... Nie jestem Nilfgaardką. Jestem kapłanką Melitele.;;;;;;Not only that - he... he is a cell leader. Now I remember - I was his pawn, his tool. I am not a nilfgaardian. I'm a priestess of Melitele.;;;;
1098032445;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032446;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032446;;;;;;;;Porwano mnie... Wykorzystano... Przemieniono w jedną z jego wiedźm ze względu na moje zdolności. Wiedział, że może użyć mnie do wzmocnienia rytuałów... Do robienia strasznych rzeczy.;;;;;;I was kidnapped... used... transformed into one of his own witches because of my background. He knew he could make use of me to empower his rituals... To do horrible things.;;;;
1098032447;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032448;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032448;;;;;;;;Czyli te ślady po ugryzieniach...;;;;;;So those bite marks...;;;;
1098032449;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032450;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032450;;;;;;;;Rytuał... Tysiące tych istot... Gryzły mnie... Miałam widzieć... Tamtego... Tamtego potwora...;;;;;;A ritual... thousands of those things... biting me... making me see... that thing... That monster...;;;;
1098032451;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032452;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032452;;;;;;;;Myślisz, że po to cię porwali? Z tego co wiem, nie każda gałąź kultu Lwiogłowego Pająka ma kogoś takiego jak ty. Ludzi jak ty prawie się nie spotyka.;;;;;;Do you think that was the motive behind the kidnapping. Got a fleeting memory that not every cell of the Coram Agh Tera cult has someone like you. In fact people like you are hard to come by.;;;;
1098032453;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032454;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032454;;;;;;;;Wydaje mi się, że nazywali cię Prorokinią Przeznaczenia.;;;;;;I belive they called you Prophetess of Fate.;;;;
1098032455;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032456;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032456;;;;;;;;Tak, t-to było straszne.;;;;;;Yes, i-it was horrible...;;;;
1098032457;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032458;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032458;;;;;;;;Już po wszystkim. Nie masz się już czego obawiać.;;;;;;It's over now. You don't have to be afraid anymore.;;;;
1098032459;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032460;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032460;;;;;;;;Byłam pod jego kontrolą... Nie wiem jak długo.;;;;;;I... was under his control for... I don't know how long.;;;;
1098032461;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032462;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032462;;;;;;;;Czyli wykorzystał mnie, żebyś do niego wróciła, a przy okazji usunął rywalizującą komórkę. A ja tańczyłem, jak mi zagrał. Zaraza...;;;;;;So, he used me to get you back to him and eliminate a rival cell. And I played right into the palm of his hand. Damn...;;;;
1098032463;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032464;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032464;;;;;;;;Tak... Ale jeszcze nie jest za późno... Tego człowieka... Tego potwora trzeba powstrzymać, wiedźminie. Proszę...;;;;;;Yes... but it is not too late... That man... that monster... must be stopped witcher. Please...;;;;
1098032465;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032466;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032466;;;;;;;;Czy pamiętasz, co stało się, kiedy cię dopadli? Trafiłem na coś ciekawego, gdy szedłem twoim tropem. Walczyłem z przeklętą istotą...;;;;;;Now, do you recall what happened when they kidnapped you. Came across a curious scene while tracking you. Fought a cursed being as well...;;;;
1098032467;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032468;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032468;;;;;;;;Nadal pamiętam jak przez mgłę, ale...;;;;;;My memory is still a bit blurry, but...;;;;
1098032469;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032470;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032470;;;;;;;;To ja go przeklęłam. Chyba odruchowo, bez zastanowienia... Zmusiłam go, żeby mnie chronił, ale to ich nie powstrzymało.;;;;;;Yes, I cursed him. It feels like I did it by reflex, without even thinking... I forced him to protect me, but nothing came out of it. They still managed to drag me away.;;;;
1098032471;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032472;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032472;;;;;;;;Hmm, to wiele tłumaczy. Byłaś wtedy pod kontrolą Arachosa. Kapłanki Coram Agh Tera władają potężnymi klątwami. Mój dawny przyjaciel, Nivellen, doświadczył tego na własnej skórze.;;;;;;Hmm, makes sense. You were under Arachous' influence then. Coram Agh Tera priestesses wield powerful curses. An old friend of mine, Nivellen, had experienced it first hand.;;;;
1098032473;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032474;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032474;;;;;;;;Udało ci się zdjąć tę klątwę?;;;;;;Did you managed to lift it, master witcher?;;;;
1098032475;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032476;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032476;;;;;;;;Mi nie. Sam to zrobił.;;;;;;No, I didn't. He did.;;;;
1098032477;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032478;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032478;;;;;;;;Taki mam zamiar. Zostań tu i nie rzucaj się nikomu w oczy. Ja zajmę się resztą. Znajdę cię, kiedy wszystko się skończy.;;;;;;Plan to do just that. You should stay here, lay low. I'll deal with the rest. Will come find you when its all over.;;;;
1098032479;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032480;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032480;;;;;;;;Dziekuję... Dziękuję...;;;;;;Thank you... thank you...;;;;
1098032481;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032482;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032482;;;;;;;;Błagam... Powstrzymaj Arachosa... Zanim znowu kogoś skrzywdzi.;;;;;;You... you have to stop Arachous... don't let any more people suffer.;;;;
1098032483;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032484;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032484;;;;;;;;Wycisz swoje myśli. Jesteś bezpieczna. Czy na pewno nic sobie nie przypominasz?;;;;;;Calm your mind. You're safe. Are you sure you can't remember?;;;;
1098032485;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032486;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;MOLL_PRIESTESS_1098032486;;;;;;;;Ja... Nic nie pamiętam. Czegoś chcieli... Ode mnie... Od niego... Już nie wiem.;;;;;;I... I don't know. They wanted something... From me... From him... I don't know.;;;;
1098032487;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032488;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_saved.w2scene""";Line text;GRLT_PRIESTESS_1098032488;;;;;;;;Hmm... To samo co z dopplerem, jakby coś blokowało moje znaki.;;;;;;Hmm... same as with the doppler. It's as if... something's blocking my signs.;;;;
1098032489;CUSTOM;Quest items;;dlc_cult_item_name_cage_key;;;;;;;Klucz do klatki;;;;;;Cage key;;;;
1098032490;CUSTOM;Additional;;dlc_cult_thread_cutter_sword_reward;;;;;;;Przecinacz Nici;;;;;;The Threadcutter;;;;
1098032491;CUSTOM;Quest items;;dlc_cult_portal_instructions_note;;;;;;;Notatka z instrukcjami;;;;;;Note with instructions;;;;
1098032492;CUSTOM;Quest items;;dlc_cult_portal_instructions_note_text;;;;;;;Zapal świece<br>Okaż swoje oddanie<br>Dotknij czaszki;;;;;;Light the candles<br>Show your devotion<br>Touch the skull;;;;
1098032493;"""CEntityTemplate """"dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\entities\dlc_cult_02_candle_01.w2ent""""""";Entity display name;;;;;;;;;#N/A;;;;;;;;;;
1098032494;"""CEntityTemplate """"dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\entities\dlc_cult_02_candle_02.w2ent""""""";Entity display name;;;;;;;;;#N/A;;;;;;;;;;
1098032495;"""CEntityTemplate """"dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\entities\dlc_cult_02_candle_03.w2ent""""""";Entity display name;;;;;;;;;#N/A;;;;;;;;;;
